won,total_runs,wickets,target,balls_left,overs_left,wickets_in_hand,current_run_rate,required_runs,required_run_rate,run_rate_diff,resources_proxy,req_per_ball,is_powerplay,is_middle_overs,is_death_overs,tight_chase,rrr_over_wickets,rr_diff_times_wi,crr_over_wickets
1,0.0,0.0,125,119.0,19.833333333333332,10.0,0.0,125.0,6.302521008403362,-6.302521008403362,198.33333333333331,1.050420168067227,1,0,0,0,0.6302521008403362,-63.02521008403362,0.0
1,0.0,0.0,125,118.0,19.666666666666668,10.0,0.0,125.0,6.3559322033898304,-6.3559322033898304,196.66666666666669,1.0593220338983051,1,0,0,0,0.635593220338983,-63.559322033898304,0.0
1,1.0,0.0,125,117.0,19.5,10.0,2.0,124.0,6.358974358974359,-4.358974358974359,195.0,1.0598290598290598,1,0,0,0,0.6358974358974359,-43.589743589743584,0.2
1,1.0,1.0,125,116.0,19.333333333333332,9.0,1.5,124.0,6.413793103448277,-4.913793103448277,174.0,1.0689655172413792,1,0,0,0,0.7126436781609197,-44.22413793103449,0.16666666666666666
1,1.0,1.0,125,115.0,19.166666666666668,9.0,1.2,124.0,6.469565217391304,-5.269565217391304,172.5,1.0782608695652174,1,0,0,0,0.7188405797101449,-47.426086956521736,0.13333333333333333
1,2.0,1.0,125,114.0,19.0,9.0,2.0,123.0,6.473684210526316,-4.473684210526316,171.0,1.0789473684210527,1,0,0,0,0.7192982456140351,-40.26315789473684,0.2222222222222222
1,2.0,1.0,125,113.0,18.833333333333332,9.0,1.7142857142857142,123.0,6.5309734513274345,-4.81668773704172,169.5,1.0884955752212389,1,0,0,0,0.7256637168141594,-43.35018963337548,0.19047619047619047
1,2.0,1.0,125,112.0,18.666666666666668,9.0,1.5,123.0,6.5892857142857135,-5.0892857142857135,168.0,1.0982142857142858,1,0,0,0,0.7321428571428571,-45.80357142857142,0.16666666666666666
1,2.0,1.0,125,111.0,18.5,9.0,1.3333333333333333,123.0,6.648648648648648,-5.315315315315315,166.5,1.1081081081081081,1,0,0,0,0.7387387387387387,-47.83783783783784,0.14814814814814814
1,4.0,1.0,125,110.0,18.333333333333332,9.0,2.4,121.0,6.6000000000000005,-4.200000000000001,165.0,1.1,1,0,0,0,0.7333333333333334,-37.80000000000001,0.26666666666666666
1,4.0,2.0,125,109.0,18.166666666666668,8.0,2.181818181818182,121.0,6.660550458715596,-4.478732276897414,145.33333333333334,1.110091743119266,1,0,0,0,0.8325688073394495,-35.829858215179314,0.27272727272727276
1,5.0,2.0,125,108.0,18.0,8.0,2.5,120.0,6.666666666666667,-4.166666666666667,144.0,1.1111111111111112,1,0,0,0,0.8333333333333334,-33.333333333333336,0.3125
1,6.0,2.0,125,107.0,17.833333333333332,8.0,2.7692307692307696,119.0,6.672897196261682,-3.9036664270309127,142.66666666666666,1.1121495327102804,1,0,0,0,0.8341121495327103,-31.2293314162473,0.3461538461538462
1,6.0,2.0,125,106.0,17.666666666666668,8.0,2.571428571428571,119.0,6.735849056603773,-4.164420485175202,141.33333333333334,1.1226415094339623,1,0,0,0,0.8419811320754716,-33.315363881401616,0.3214285714285714
1,8.0,2.0,125,105.0,17.5,8.0,3.2,117.0,6.685714285714286,-3.4857142857142858,140.0,1.1142857142857143,1,0,0,0,0.8357142857142857,-27.885714285714286,0.4
1,8.0,2.0,125,104.0,17.333333333333332,8.0,3.0,117.0,6.750000000000001,-3.750000000000001,138.66666666666666,1.125,1,0,0,0,0.8437500000000001,-30.000000000000007,0.375
1,8.0,2.0,125,103.0,17.166666666666668,8.0,2.8235294117647056,117.0,6.815533980582524,-3.9920045688178183,137.33333333333334,1.1359223300970873,1,0,0,0,0.8519417475728155,-31.936036550542546,0.3529411764705882
1,10.0,2.0,125,102.0,17.0,8.0,3.3333333333333335,115.0,6.764705882352941,-3.4313725490196076,136.0,1.1274509803921569,1,0,0,0,0.8455882352941176,-27.45098039215686,0.4166666666666667
1,10.0,2.0,125,101.0,16.833333333333332,8.0,3.1578947368421053,115.0,6.831683168316832,-3.673788431474727,134.66666666666666,1.1386138613861385,1,0,0,0,0.853960396039604,-29.390307451797817,0.39473684210526316
1,14.0,2.0,125,101.0,16.833333333333332,8.0,4.421052631578948,111.0,6.594059405940595,-2.173006774361647,134.66666666666666,1.099009900990099,1,0,0,0,0.8242574257425743,-17.384054194893174,0.5526315789473685
1,18.0,2.0,125,100.0,16.666666666666668,8.0,5.3999999999999995,107.0,6.42,-1.0200000000000005,133.33333333333334,1.07,1,0,0,0,0.8025,-8.160000000000004,0.6749999999999999
1,19.0,2.0,125,99.0,16.5,8.0,5.428571428571429,106.0,6.424242424242424,-0.995670995670995,132.0,1.0707070707070707,1,0,0,0,0.803030303030303,-7.96536796536796,0.6785714285714286
1,25.0,2.0,125,98.0,16.333333333333332,8.0,6.818181818181818,100.0,6.122448979591837,0.695732838589981,130.66666666666666,1.0204081632653061,1,0,0,0,0.7653061224489797,5.565862708719848,0.8522727272727273
1,31.0,2.0,125,97.0,16.166666666666668,8.0,8.08695652173913,94.0,5.814432989690721,2.2725235320484094,129.33333333333334,0.9690721649484536,1,0,0,0,0.7268041237113402,18.180188256387275,1.0108695652173914
1,31.0,2.0,125,96.0,16.0,8.0,7.75,94.0,5.875,1.875,128.0,0.9791666666666666,1,0,0,0,0.734375,15.0,0.96875
1,32.0,2.0,125,95.0,15.833333333333334,8.0,7.68,93.0,5.873684210526315,1.8063157894736843,126.66666666666667,0.9789473684210527,1,0,0,0,0.7342105263157894,14.450526315789475,0.96
1,32.0,2.0,125,94.0,15.666666666666666,8.0,7.384615384615385,93.0,5.9361702127659575,1.4484451718494276,125.33333333333333,0.9893617021276596,1,0,0,0,0.7420212765957447,11.58756137479542,0.9230769230769231
1,32.0,2.0,125,93.0,15.5,8.0,7.111111111111111,93.0,6.0,1.1111111111111107,124.0,1.0,1,0,0,0,0.75,8.888888888888886,0.8888888888888888
1,33.0,2.0,125,92.0,15.333333333333334,8.0,7.071428571428571,92.0,6.0,1.0714285714285712,122.66666666666667,1.0,1,0,0,0,0.75,8.57142857142857,0.8839285714285714
1,37.0,2.0,125,91.0,15.166666666666666,8.0,7.655172413793104,88.0,5.802197802197802,1.852974611595302,121.33333333333333,0.967032967032967,1,0,0,0,0.7252747252747253,14.823796892762417,0.956896551724138
1,41.0,2.0,125,90.0,15.0,8.0,8.2,84.0,5.6,2.5999999999999996,120.0,0.9333333333333333,1,0,0,0,0.7,20.799999999999997,1.025
1,43.0,2.0,125,89.0,14.833333333333334,8.0,8.32258064516129,82.0,5.52808988764045,2.7944907575208404,118.66666666666667,0.9213483146067416,1,0,0,0,0.6910112359550562,22.355926060166723,1.0403225806451613
1,43.0,2.0,125,89.0,14.833333333333334,8.0,8.32258064516129,82.0,5.52808988764045,2.7944907575208404,118.66666666666667,0.9213483146067416,1,0,0,0,0.6910112359550562,22.355926060166723,1.0403225806451613
1,43.0,2.0,125,88.0,14.666666666666666,8.0,8.0625,82.0,5.590909090909091,2.471590909090909,117.33333333333333,0.9318181818181818,1,0,0,0,0.6988636363636364,19.772727272727273,1.0078125
1,48.0,2.0,125,87.0,14.5,8.0,8.727272727272727,77.0,5.310344827586207,3.4169278996865193,116.0,0.8850574712643678,1,0,0,0,0.6637931034482759,27.335423197492155,1.0909090909090908
1,54.0,2.0,125,86.0,14.333333333333334,8.0,9.529411764705882,71.0,4.953488372093023,4.575923392612859,114.66666666666667,0.8255813953488372,1,0,0,0,0.6191860465116279,36.60738714090287,1.1911764705882353
1,56.0,2.0,125,85.0,14.166666666666666,8.0,9.6,69.0,4.870588235294118,4.7294117647058815,113.33333333333333,0.8117647058823529,1,0,0,0,0.6088235294117648,37.83529411764705,1.2
1,57.0,2.0,125,84.0,14.0,8.0,9.5,68.0,4.857142857142857,4.642857142857143,112.0,0.8095238095238095,1,0,0,0,0.6071428571428571,37.142857142857146,1.1875
